Symbol,Last Data Point,Status
SAIL.NS,2026-01-05,PASS
DALBHARAT.NS,2026-01-05,PASS
ACC.NS,2026-01-05,PASS
JKCEMENT.NS,2026-01-05,PASS
BSE.NS,2026-01-05,PASS
CDSL.NS,2026-01-05,PASS
MCX.NS,2026-01-05,PASS
IEX.NS,2026-01-05,PASS
ANGELONE.NS,2026-01-05,PASS
SUZLON.NS,2026-01-05,PASS
IDFCFIRSTB.NS,2026-01-05,PASS
KALYANKJIL.NS,2026-01-05,PASS
RVNL.NS,2026-01-05,PASS
IRFC.NS,2026-01-05,PASS
IRCON.NS,2026-01-05,PASS
RITES.NS,2026-01-05,PASS
HUDCO.NS,2026-01-05,PASS
NBCC.NS,2026-01-05,PASS
NCC.NS,2026-01-05,PASS
SJVN.NS,2026-01-05,PASS
NHPC.NS,2026-01-05,PASS
NLCINDIA.NS,2026-01-05,PASS
KEI.NS,2026-01-05,PASS
KEC.NS,2026-01-05,PASS
KPITTECH.NS,2026-01-05,PASS
CYIENT.NS,2026-01-05,PASS
ZENSARTECH.NS,2026-01-05,PASS
SONACOMS.NS,2026-01-05,PASS
JBCHEPHARM.NS,2026-01-05,PASS
GLENMARK.NS,2026-01-05,PASS
NATCOPHARM.NS,2026-01-05,PASS
GRANULES.NS,2026-01-05,PASS
BIOCON.NS,2026-01-05,PASS
LAURUSLABS.NS,2026-01-05,PASS
PVRINOX.NS,2026-01-05,PASS
EASEMYTRIP.NS,2026-01-05,PASS
DELHIVERY.NS,2026-01-05,PASS
BLUEDART.NS,2026-01-05,PASS
CENTURYPLY.NS,2026-01-05,PASS
CERA.NS,2026-01-05,PASS
AMBER.NS,2026-01-05,PASS
VIPIND.NS,2026-01-05,PASS
TTML.NS,2026-01-05,PASS
TEJASNET.NS,2026-01-05,PASS
HFCL.NS,2026-01-05,PASS
ITI.NS,2026-01-05,PASS
GSFC.NS,2026-01-05,PASS
GNFC.NS,2026-01-05,PASS
CHAMBLFERT.NS,2026-01-05,PASS
FACT.NS,2026-01-05,PASS
NATIONALUM.NS,2026-01-05,PASS
HINDCOPPER.NS,2026-01-05,PASS
GMDC.NS,N/A,PASS
MOIL.NS,2026-01-05,PASS
APARINDS.NS,2026-01-05,PASS
ELGIEQUIP.NS,2026-01-05,PASS
TRITURBINE.NS,2026-01-05,PASS
CARBORUNIV.NS,2026-01-05,PASS
GRINDWELL.NS,2026-01-05,PASS
SCHAEFFLER.NS,2026-01-05,PASS
SKFINDIA.NS,2026-01-05,PASS
TIMKEN.NS,2026-01-05,PASS
AIAENG.NS,2026-01-05,PASS
BRIGADE.NS,2026-01-05,PASS
SOBHA.NS,2026-01-05,PASS
MAHLIFE.NS,2026-01-05,PASS
